CL:0000000	cell
CL:0000122	stellate neuron
CL:0000123	neuron associated cell (sensu Vertebrata)
CL:0000124	glial cell (sensu Nematoda and Protostomia)
CL:0000125	glial cell
CL:0000126	macroglial cell
CL:0000127	astrocyte
CL:0000128	oligodendrocyte
CL:0000129	microglial cell
CL:0000130	neuron associated cell (sensu Nematoda and Protostomia)
CL:0000131	gut endothelial cell
CL:0000132	corneal endothelial cell
CL:0000133	neurectodermal cell
CL:0000134	mesenchymal stem cell
CL:0000135	fibrocyte
CL:0000136	fat cell
CL:0000137	osteocyte
CL:0000138	chondrocyte
CL:0000140	odontocyte
CL:0000141	cementocyte
CL:0000142	hyalocyte
CL:0000143	guidepost cell
CL:0000145	professional antigen presenting cell
CL:0000146	simple columnar epithelial cell
CL:0000147	pigment cell
CL:0000148	melanocyte
CL:0000149	visual pigment cell
CL:0000150	glandular epithelial cell
CL:0000151	secretory cell
CL:0000152	exocrine cell
CL:0000153	glycosaminoglycan secreting cell
CL:0000154	protein secreting cell
CL:0000155	peptic cell
CL:0000157	surfactant secreting cell
CL:0000158	Clara cell
CL:0000159	seromucus secreting cell
CL:0000160	goblet cell
CL:0000161	acid secreting cell
CL:0000162	parietal cell
CL:0000163	endocrine cell
CL:0000164	enteroendocrine cell
CL:0000165	neuroendocrine cell
CL:0000166	chromaffin cell
CL:0000167	peptide hormone secreting cell
CL:0000168	insulin secreting cell
CL:0000169	type B pancreatic cell
CL:0000170	glucagon secreting cell
CL:0000171	pancreatic A cell
CL:0000172	somatostatin secreting cell
CL:0000173	pancreatic D cell
CL:0000174	steroid hormone secreting cell
CL:0000175	luteal cell
CL:0000176	ecdysteroid secreting cell
CL:0000177	testosterone secreting cell
CL:0000178	Leydig cell
CL:0000179	progesterone secreting cell
CL:0000180	estradiol secreting cell
CL:0000181	metabolising cell
CL:0000182	hepatocyte
CL:0000183	contractile cell
CL:0000185	myoepithelial cell
CL:0000186	myofibroblast cell
CL:0000187	muscle cell
CL:0000188	cell of skeletal muscle
CL:0000189	slow muscle cell
CL:0000190	fast muscle cell
CL:0000192	smooth muscle cell
CL:0000193	cardiac muscle cell (sensu Arthopoda)
CL:0000196	flight muscle cell
CL:0000197	receptor cell
CL:0000198	pain receptor cell
CL:0000199	mechanoreceptor cell
CL:0000200	touch receptor cell
CL:0000202	auditory hair cell
CL:0000203	gravity sensitive cell
CL:0000204	acceleration receptive cell
CL:0000205	thermoreceptor cell
CL:0000206	chemoreceptor cell
CL:0000207	olfactory receptor cell
CL:0000208	pH receptor cell
CL:0000209	taste receptor cell
CL:0000210	photoreceptor cell
CL:0000211	electrically active cell
CL:0000212	absorptive cell
CL:0000213	lining cell
CL:0000214	synovial cell
CL:0000215	barrier cell
CL:0000216	Sertoli cell
CL:0000217	insulating cell
CL:0000218	myelinating Schwann cell
CL:0000219	motile cell
CL:0000221	ectodermal cell
CL:0000222	mesodermal cell
CL:0000223	endodermal cell
CL:0000225	anucleate cell
CL:0000226	single nucleate cell
CL:0000227	binucleate cell
CL:0000228	multinucleate cell
CL:0000232	erythrocyte
CL:0000233	platelet
CL:0000234	phagocyte
CL:0000235	macrophage
CL:0000236	B cell
CL:0000237	keratinizing barrier epithelial cell
CL:0000238	non keratinizing barrier epithelial cell
CL:0000239	brush border epithelial cell
CL:0000240	stratified squamous epithelial cell
CL:0000241	stratified cuboidal epithelial cell
CL:0000242	Merkel cell
CL:0000243	glial cell (sensu Vertebrata)
CL:0000244	transitional epithelial cell
CL:0000246	Mauthner neuron
CL:0000247	Rohon-Beard neuron
CL:0000249	hatching gland cell
CL:0000251	extramedullary cell
CL:0000253	eurydendroid cell
CL:0000255	eukaryotic cell
CL:0000256	uric acid accumulating cell
CL:0000257	Mycetozoan cell
CL:0000261	anterior cell
CL:0000286	hyphal cell
CL:0000287	eye photoreceptor cell
CL:0000293	structural cell
CL:0000295	somatotropin secreting cell
CL:0000300	gamete
CL:0000301	pole cell
CL:0000306	crystallin accumulating cell
CL:0000307	tracheal epithelial cell
CL:0000308	metal ion accumulating cell
CL:0000309	copper accumulating cell
CL:0000310	iron accumulating cell
CL:0000311	keratin accumulating cell
CL:0000312	keratinocyte
CL:0000313	serous secreting cell
CL:0000314	milk secreting cell
CL:0000315	tears secreting cell
CL:0000317	sebum secreting cell
CL:0000318	sweat secreting cell
CL:0000319	mucus secreting cell
CL:0000321	seminal fluid secreting cell
CL:0000322	pneumocyte
CL:0000323	lysozyme secreting cell
CL:0000324	metanephric mesenchyme stem cell
CL:0000325	stuff accumulating cell
CL:0000326	glycogen accumulating cell
CL:0000327	extracellular matrix secreting cell
CL:0000328	myelin accumulating cell
CL:0000329	oxygen accumulating cell
CL:0000333	migratory neural crest cell
CL:0000334	vegetative cell (sensu Fungi)
CL:0000335	mesenchyme condensation cell
CL:0000336	adrenal medulla chromaffin cell
CL:0000337	neuroblast (sensu Vertebrata)
CL:0000338	neuroblast (sensu Nematoda and Protostomia)
CL:0000339	glioblast (sensu Vertebrata)
CL:0000340	glioblast (sensu Nematoda and Protostomia)
CL:0000341	pigment cell (sensu Nematoda and Protostomia)
CL:0000342	pigment cell (sensu Vertebrata)
CL:0000343	visual pigment cell (sensu Vertebrata)
CL:0000345	dental papilla cell
CL:0000346	hair follicle dermal papilla cell
CL:0000347	scleral cell
CL:0000348	choroidal cell of the eye
CL:0000349	extraembryonic cell
CL:0000350	amnioserosal cell
CL:0000351	trophoblast cell
CL:0000352	epiblast cell
CL:0000353	blastoderm cell
CL:0000354	blastemal cell
CL:0000355	multi-potent skeletal muscle stem cell
CL:0000356	hair matrix stem cell
CL:0000357	stratified epithelial stem cell
CL:0000358	sphincter associated smooth muscle cell
CL:0000359	vascular associated smooth muscle cell
CL:0000360	morula cell
CL:0000361	gastrula cell
CL:0000362	epidermal cell
CL:0000365	animal zygote
CL:0000367	sheath cell (sensu Nematoda)
CL:0000371	protoplast
CL:0000372	tormogen cell
CL:0000373	histoblast
CL:0000374	trichogen cell
CL:0000376	humidity receptor cell
CL:0000377	tracheoblast
CL:0000378	support cell (sensu Nematoda and Protostomia)
CL:0000379	sensory processing neuron
CL:0000380	thecogen cell
CL:0000381	neurosecretory neuron
CL:0000382	scolopale cell
CL:0000383	nephrogenic mesenchyme stem cell
CL:0000384	ligament cell
CL:0000385	prohemocyte (sensu Nematoda and Protostomia)
CL:0000386	attachment cell
CL:0000387	hemocyte (sensu Nematoda and Protostomia)
CL:0000388	tendon cell
CL:0000389	socket cell (sensu Nematoda)
CL:0000390	blood cell (sensu Nematoda and Protostomia)
CL:0000391	podocyte (sensu Diptera)
CL:0000392	crystal cell
CL:0000393	electrically responsive cell
CL:0000394	plasmatocyte
CL:0000395	procrystal cell
CL:0000396	lamellocyte
CL:0000397	ganglion interneuron
CL:0000398	polygonal cell
CL:0000401	macrophage (sensu Diptera)
CL:0000402	CNS interneuron
CL:0000404	electrically signaling cell
CL:0000405	neuroepidermoblast
CL:0000406	CNS short range interneuron
CL:0000407	scolopidial ligament cell
CL:0000408	male gamete
CL:0000409	scolopidial sheath cell
CL:0000410	CNS long range interneuron
CL:0000411	flatworm hypodermal cell
CL:0000412	polyploid cell
CL:0000413	haploid cell
CL:0000415	diploid cell
CL:0000416	polytene cell
CL:0000417	endopolyploid cell
CL:0000418	arcade cell
CL:0000419	seam cell
CL:0000420	syncytial epithelial cell
CL:0000421	coelomocyte
CL:0000422	mitogenic signaling cell
CL:0000423	tip cell
CL:0000424	excretory cell
CL:0000425	pore cell
CL:0000426	scaffold cell
CL:0000427	GLR cell
CL:0000428	yolk cell
CL:0000429	imaginal disc cell
CL:0000430	xanthophore cell
CL:0000431	iridophore
CL:0000432	reticular cell
CL:0000434	eccrine cell
CL:0000435	alkali secreting cell
CL:0000436	vaginal lubricant secreting cell
CL:0000437	gonadtroph
CL:0000438	luteinizing hormone secreting cell
CL:0000439	prolactin secreting cell
CL:0000440	melanocyte stimulating hormone secreting cell
CL:0000441	follicle stem cell
CL:0000442	follicular dendritic cell
CL:0000443	calcitonin secreting cell
CL:0000444	obliquely striated muscle cell
CL:0000445	apoptosis fated cell
CL:0000446	chief cell of parathyroid gland
CL:0000447	carbohydrate secreting cell
CL:0000448	white fat cell
CL:0000449	brown fat cell
CL:0000451	dendritic cell
CL:0000452	thyroid hormone secreting cell
CL:0000453	Langerhans cell
CL:0000454	epinephrine secreting cell
CL:0000456	mineralocorticoid secreting cell
CL:0000457	biogenic amine secreting cell
CL:0000458	serotonin secreting cell
CL:0000459	noradrenergic cell
CL:0000460	glucocorticoid secreting cell
CL:0000462	adepithelial cell
CL:0000463	epidermal cell (sensu arthropoda)
CL:0000464	epidermoblast
CL:0000465	cardioblast (sensu Arthropoda)
CL:0000467	adrenocorticotropic hormone secreting cell
CL:0000468	neuroglioblast
CL:0000469	ganglion mother cell
CL:0000470	digestive enzyme secreting cell
CL:0000473	defensive cell
CL:0000474	pericardial nephrocyte
CL:0000476	thyrotroph
CL:0000477	follicle cell
CL:0000478	oxytocin stimulating hormone secreting cell
CL:0000479	vasopressin stimulating hormone secreting cell
CL:0000480	secretin stimulating hormone secreting cell
CL:0000481	cholecystokin stimulating hormone secreting cell
CL:0000482	juvenile hormone secreting cell
CL:0000483	bombesin stimulating hormone secreting cell
CL:0000484	connective tissue type mast cell
CL:0000485	mucosal type mast cell
CL:0000486	garland cell
CL:0000487	oenocyte
CL:0000488	visible light photoreceptor cell
CL:0000489	scotopic photoreceptor cell
CL:0000490	photopic photoreceptor cell
CL:0000492	CD4-positive helper T cell
CL:0000494	UV sensitive photoreceptor cell
CL:0000495	blue sensitive photoreceptor cell
CL:0000496	green sensitive photoreceptor cell
CL:0000497	red sensitive photoreceptor cell
CL:0000498	inhibitory interneuron
CL:0000499	stromal cell
CL:0000500	follicular epithelial cell
CL:0000501	granulosa cell
CL:0000502	type D enteroendocrine cell
CL:0000503	theca cell
CL:0000504	enterochromaffin-like cell
CL:0000505	substance P secreting cell
CL:0000506	enkephalin secreting cell
CL:0000507	endorphin secreting cell
CL:0000508	type G enteroendocrine cell
CL:0000509	gastrin secreting cell
CL:0000510	paneth cell
CL:0000511	androgen binding protein secreting cell
CL:0000512	paracrine cell
CL:0000513	cardiac muscle myoblast
CL:0000514	smooth muscle myoblast
CL:0000515	skeletal muscle myoblast
CL:0000516	perineuronal satellite cell
CL:0000517	macrophage derived foam cell
CL:0000518	phagocyte (sensu Vertebrata)
CL:0000519	phagocyte (sensu Nematoda and Protostomia)
CL:0000520	prokaryotic cell
CL:0000521	fungal cell
CL:0000523	mononuclear cytotrophoblast cell
CL:0000524	spheroplast
CL:0000525	syncytiotrophoblast cell
CL:0000526	afferent neuron
CL:0000527	efferent neuron
CL:0000528	nitrergic neuron
CL:0000529	pigmented epithelial cell
CL:0000530	primary neuron
CL:0000531	primary sensory neuron
CL:0000532	CAP motoneuron
CL:0000533	primary motor neuron
CL:0000534	primary interneuron
CL:0000535	secondary neuron
CL:0000536	secondary motor neuron
CL:0000540	neuron
CL:0000541	melanoblast
CL:0000542	lymphocyte
CL:0000544	slowly adapting mechanoreceptor cell
CL:0000545	T-helper 1 cell
CL:0000546	T-helper 2 cell
CL:0000547	proerythroblast
CL:0000548	animal cell
CL:0000549	basophilic erythroblast
CL:0000550	polychromatophilic erythroblast
CL:0000551	unimodal nocireceptor
CL:0000552	orthochromatic erythroblast
CL:0000553	megakaryocyte progenitor cell
CL:0000554	gastrin stimulating hormone secreting cell
CL:0000555	neuronal brush cell
CL:0000556	megakaryocyte
CL:0000557	granulocyte monocyte progenitor cell
CL:0000558	reticulocyte
CL:0000559	promonocyte
CL:0000560	band form neutrophil
CL:0000561	amacrine cell
CL:0000562	nucleate erythrocyte
CL:0000563	endospore
CL:0000564	neutrophilic promyelocyte
CL:0000565	fat body cell
CL:0000566	angioblastic mesenchymal cell
CL:0000567	polymodal nocireceptor
CL:0000568	amine precursor uptake and decarboxylation cell
CL:0000569	cardiac mesenchymal cell
CL:0000570	parafollicular cell
CL:0000571	leucophore
CL:0000573	retinal cone cell
CL:0000574	erythrophore
CL:0000575	corneal epithelial cell
CL:0000576	monocyte
CL:0000577	type EC enteroendocrine cell
CL:0000578	experimentally modified cell in vitro
CL:0000579	border follicle cell
CL:0000580	neutrophilic myelocyte
CL:0000581	peritoneal macrophage
CL:0000582	neutrophilic metamyelocyte
CL:0000583	alveolar macrophage
CL:0000584	enterocyte
CL:0000586	germ cell
CL:0000587	cold sensing thermoreceptor cell
CL:0000588	odontoclast
CL:0000589	cochlear inner hair cell
CL:0000590	small luteal cell
CL:0000591	warmth sensing thermoreceptor cell
CL:0000592	large luteal cell
CL:0000593	androgen secreting cell
CL:0000594	skeletal muscle satellite cell
CL:0000595	enucleate erythrocyte
CL:0000596	sexual spore
CL:0000597	microconidium
CL:0000598	pyramidal neuron
CL:0000599	conidium
CL:0000600	heterokaryon
CL:0000601	outer hair cell
CL:0000602	pressoreceptor cell
CL:0000603	dikaryon
CL:0000604	retinal rod cell
CL:0000605	fungal asexual spore
CL:0000606	macroconidium
CL:0000607	ascospore
CL:0000608	zygospore
CL:0000609	vestibular hair cell
CL:0000611	eosinophil progenitor cell
CL:0000612	eosinophilic myelocyte
CL:0000613	basophil progenitor cell
CL:0000614	basophilic myelocyte
CL:0000615	basidiospore
CL:0000617	GABAergic neuron
CL:0000618	sheath cell
CL:0000619	support cell (sensu Nematoda)
CL:0000621	fusion competent myoblast
CL:0000622	acinar cell
CL:0000623	natural killer cell
CL:0000624	CD4-positive, alpha-beta T cell
CL:0000625	CD8-positive, alpha-beta T cell
CL:0000626	olfactory granule cell
CL:0000627	transporting cell
CL:0000628	photosynthetic cell
CL:0000629	storage cell
CL:0000630	supportive cell
CL:0000631	labyrinth supporting cell
CL:0000632	hepatic stellate cell
CL:0000633	Hensen cell
CL:0000634	Claudius cell
CL:0000635	Deiter's cell
CL:0000636	Mueller cell
CL:0000637	chromophil cell of anterior pituitary gland
CL:0000638	acidophil cell of pars distalis of adenohypophysis
CL:0000639	basophil cell of pars distalis of adenohypophysis
CL:0000641	chromophobe cell
CL:0000642	folliculostellate cell
CL:0000644	Bergmann glial cell
CL:0000645	pituicyte
CL:0000646	basal cell
CL:0000647	multinucleated giant cell
CL:0000648	kidney granular cell
CL:0000649	prickle cell
CL:0000650	mesangial cell
CL:0000651	mucous neck cell
CL:0000652	pinealocyte
CL:0000653	glomerular visceral epithelial cell
CL:0000654	primary oocyte
CL:0000655	secondary oocyte
CL:0000656	primary spermatocyte
CL:0000657	secondary spermatocyte
CL:0000658	cuticle secreting cell
CL:0000659	eggshell secreting cell
CL:0000660	glycocalyx secreting cell
CL:0000661	distal tip cell (sensu Nematoda)
CL:0000662	neuroglioblast (sensu Nematoda)
CL:0000663	valve cell
CL:0000664	closable valve cell
CL:0000665	permanently open valve cell
CL:0000666	fenestrated cell
CL:0000667	collagen secreting cell
CL:0000669	pericyte cell
CL:0000670	primordial germ cell
CL:0000671	centripetally migrating follicle cell
CL:0000673	Kenyon cell
CL:0000674	interfollicle cell
CL:0000675	female gamete
CL:0000676	cap cell
CL:0000677	gut absorptive cell
CL:0000678	commissural neuron
CL:0000679	glutamatergic neuron
CL:0000680	muscle precursor cell
CL:0000681	radial glial cell
CL:0000682	M cell of gut
CL:0000683	ependymoglial cell
CL:0000684	littoral cell of liver
CL:0000686	cerebrospinal fluid secreting cell
CL:0000687	R1 photoreceptor cell
CL:0000688	perijunctional fibroblast
CL:0000689	myoendocrine cell
CL:0000690	R2 photoreceptor cell
CL:0000691	stellate interneuron
CL:0000692	terminal Schwann cell
CL:0000693	neuroglioform cell
CL:0000694	R3 photoreceptor cell
CL:0000695	Cajal-Retzius cell
CL:0000696	PP cell
CL:0000697	R4 photoreceptor cell
CL:0000699	paraganglial type 1 cell
CL:0000700	dopaminergic neuron
CL:0000701	paraganglia type 2 cell
CL:0000702	R5 photoreceptor cell
CL:0000703	sustentacular cell
CL:0000704	endothelial tip cell
CL:0000705	R6 photoreceptor cell
CL:0000706	choroid plexus epithelial cell
CL:0000707	R7 photoreceptor cell
CL:0000708	leptomeningeal cell
CL:0000709	R8 photoreceptor cell
CL:0000710	neurecto-epithelial cell
CL:0000711	cumulus cell
CL:0000712	stratum granulosum cell
CL:0000713	corona radiata cell
CL:0000715	embryonic crystal cell
CL:0000716	lymph gland crystal cell
CL:0000717	fusimotor neuron
CL:0000718	compound eye cone cell
CL:0000719	posterior cone cell (sensu Endopterygota)
CL:0000720	anterior cone cell (sensu Endopterygota)
CL:0000721	equatorial cone cell (sensu Endopterygota)
CL:0000722	cystoblast
CL:0000723	somatic stem cell
CL:0000724	heterocyst
CL:0000725	nitrogen fixing cell
CL:0000726	chlamydospore
CL:0000727	primary pigment cell
CL:0000728	secondary pigment cell
CL:0000729	tertiary pigment cell
CL:0000730	leading edge cell
CL:0000731	urothelial cell
CL:0000732	amoeboid cell
CL:0000733	lymph gland plasmatocyte
CL:0000734	embryonic gland plasmatocyte
CL:0000735	lymph gland hemocyte
CL:0000736	embryonic gland hemocyte
CL:0000737	striated muscle cell
CL:0000738	leukocyte
CL:0000740	retinal ganglion cell
CL:0000741	spinal accessory motor neuron
CL:0000742	periarticular chondrocyte
CL:0000743	hypertrophic chondrocyte
CL:0000744	columnar chondrocyte
CL:0000745	retina horizontal cell
CL:0000746	cardiac muscle cell
CL:0000747	cyanophore
CL:0000748	retinal bipolar neuron
CL:0000749	ON-bipolar cell
CL:0000750	OFF-bipolar cell
CL:0000751	rod bipolar cell
CL:0000752	cone retinal bipolar cell
CL:0000753	type 1 cone bipolar cell (sensu Mus)
CL:0000754	type 2 cone bipolar cell (sensu Mus)
CL:0000755	type 3 cone bipolar cell (sensu Mus)
CL:0000756	type 4 cone bipolar cell (sensu Mus)
CL:0000757	type 5 cone bipolar cell (sensu Mus)
CL:0000758	type 6 cone bipolar cell (sensu Mus)
CL:0000759	type 7 cone bipolar cell (sensu Mus)
CL:0000760	type 8 cone bipolar cell (sensu Mus)
CL:0000761	type 9 cone bipolar cell (sensu Mus)
CL:0000762	nucleated thrombocyte
CL:0000763	myeloid cell
CL:0000764	erythroid lineage cell
CL:0000765	erythroblast
CL:0000766	myeloid leukocyte
CL:0000767	basophil
CL:0000768	immature basophil
CL:0000769	basophilic metamyelocyte
CL:0000770	band form basophil
CL:0000771	eosinophil
CL:0000772	immature eosinophil
CL:0000773	eosinophilic metamyelocyte
CL:0000774	band form eosinophil
CL:0000775	neutrophil
CL:0000776	immature neutrophil
CL:0000777	mesangial phagocyte
CL:0000778	mononuclear osteoclast
CL:0000779	multinuclear osteoclast
CL:0000780	multinuclear odontoclast
CL:0000781	mononuclear odontoclast
CL:0000782	myeloid dendritic cell
CL:0000783	multinucleated phagocyte
CL:0000784	plasmacytoid dendritic cell
CL:0000785	mature B cell
CL:0000786	plasma cell
CL:0000787	memory B cell
CL:0000788	naive B cell
CL:0000789	alpha-beta T cell
CL:0000790	immature alpha-beta T cell
CL:0000791	mature alpha-beta T cell
CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell
CL:0000793	CD4-positive, alpha-beta intraepithelial T cell
CL:0000794	CD8-positive, alpha-beta cytotoxic T cell
CL:0000795	CD8-positive, alpha-beta regulatory T cell
CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell
CL:0000797	alpha-beta intraepithelial T cell
CL:0000798	gamma-delta T cell
CL:0000799	immature gamma-delta T cell
CL:0000800	mature gamma-delta T cell
CL:0000801	gamma-delta intraepithelial T cell
CL:0000802	CD8-alpha alpha positive, gamma-delta intraepithelial T cell
CL:0000803	CD4-negative CD8-negative gamma-delta intraepithelial T cell
CL:0000805	immature single positive thymocyte
CL:0000806	DN2 thymocyte
CL:0000807	DN3 thymocyte
CL:0000808	DN4 thymocyte
CL:0000809	double-positive, alpha-beta thymocyte
CL:0000810	CD4-positive, alpha-beta thymocyte
CL:0000811	CD8-positive, alpha-beta thymocyte
CL:0000813	memory T cell
CL:0000814	mature NK T cell
CL:0000815	regulatory T cell
CL:0000816	immature B cell
CL:0000817	precursor B cell
CL:0000818	transitional stage B cell
CL:0000819	B-1 B cell
CL:0000820	B-1a B cell
CL:0000821	B-1b B cell
CL:0000822	B-2 B cell
CL:0000823	immature natural killer cell
CL:0000824	mature natural killer cell
CL:0000825	pro-NK cell
CL:0000826	pro-B cell
CL:0000827	pro-T cell
CL:0000828	thromboblast
CL:0000829	basophilic myeloblast
CL:0000830	basophilic promyelocyte
CL:0000831	mast cell progenitor
CL:0000832	eosinophilic myeloblast
CL:0000833	eosinophilic promyelocyte
CL:0000834	neutrophil progenitor cell
CL:0000835	myeloblast
CL:0000836	promyelocyte
CL:0000837	hematopoietic multipotent progenitor cell
CL:0000838	lymphoid lineage restricted progenitor cell
CL:0000839	myeloid lineage restricted progenitor cell
CL:0000840	immature conventional dendritic cell
CL:0000841	mature conventional dendritic cell
CL:0000842	mononuclear cell
CL:0000843	follicular B cell
CL:0000844	germinal center B cell
CL:0000845	marginal zone B cell
CL:0000846	vestibular dark cell
CL:0000847	ciliated olfactory receptor neuron
CL:0000848	microvillous olfactory receptor neuron
CL:0000849	crypt olfactory receptor neuron
CL:0000850	serotonergic neuron
CL:0000851	neuromast mantle cell
CL:0000852	neuromast support cell
CL:0000853	olfactory epithelial support cell
CL:0000854	interneuromast cell
CL:0000855	sensory hair cell
CL:0000856	neuromast hair cell
CL:0000857	slow muscle myoblast
CL:0000858	fast muscle myoblast
CL:0000860	classical monocyte
CL:0000861	elicited macrophage
CL:0000862	suppressor macrophage
CL:0000863	inflammatory macrophage
CL:0000864	tissue-resident macrophage
CL:0000865	gastrointestinal tract (lamina propria) macrophage
CL:0000866	thymic macrophage
CL:0000867	secondary lymphoid organ macrophage
CL:0000868	lymph node macrophage
CL:0000869	tonsillar macrophage
CL:0000870	Peyer's patch macrophage
CL:0000871	splenic macrophage
CL:0000872	splenic marginal zone macrophage
CL:0000873	splenic metallophillic macrophage
CL:0000874	splenic red pulp macrophage
CL:0000875	non-classical monocyte
CL:0000876	splenic white pulp macrophage
CL:0000877	splenic tingible body macrophage
CL:0000878	central nervous system macrophage
CL:0000879	meningeal macrophage
CL:0000880	choroid-plexus macrophage
CL:0000881	perivascular macrophage
CL:0000882	thymic medullary macrophage
CL:0000883	thymic cortical macrophage
CL:0000884	mucosa-associated lymphoid tissue macrophage
CL:0000885	gut-associated lymphoid tissue macrophage
CL:0000886	nasal and broncial associated lymphoid tissue macrophage
CL:0000887	lymph node subcapsular sinus macrophage
CL:0000888	lymph node tingible body macrophage
CL:0000889	myeloid suppressor cell
CL:0000890	alternatively activated macrophage
CL:0000891	foam cell
CL:0000892	smooth muscle cell derived foam cell
CL:0000893	thymocyte
CL:0000894	DN1 thymic pro-T cell
CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell
CL:0000896	activated CD4-positive, alpha-beta T cell
CL:0000897	CD4-positive, alpha-beta memory T cell
CL:0000898	naive T cell
CL:0000899	T-helper 17 cell
CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell
CL:0000901	Tr1 cell
CL:0000902	induced T-regulatory cell
CL:0000903	natural T-regulatory cell
CL:0000904	central memory CD4-positive, alpha-beta T cell
CL:0000905	effector memory CD4-positive, alpha-beta T cell
CL:0000906	activated CD8-positive, alpha-beta T cell
CL:0000907	central memory CD8-positive, alpha-beta T cell
CL:0000908	CD8-positive, alpha-beta cytokine secreting effector T cell
CL:0000909	CD8-positive, alpha-beta memory T cell
CL:0000910	cytotoxic T cell
CL:0000911	effector T cell
CL:0000912	helper T cell
CL:0000913	effector memory CD8-positive, alpha-beta T cell
CL:0000914	immature NK T cell
CL:0000915	CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell
CL:0000916	dendritic epidermal T cell
CL:0000917	Tc1 cell
CL:0000918	Tc2 cell
CL:0000919	CD8-positive, CD25-positive, alpha-beta regulatory T cell
CL:0000920	CD8-positive, CD28-negative, alpha-beta regulatory T cell
CL:0000921	type I NK T cell
CL:0000922	type II NK T cell
CL:0000923	CD4-positive type I NK T cell
CL:0000924	CD4-negative, CD8-negative type I NK T cell
CL:0000925	activated CD4-positive type I NK T cell
CL:0000926	CD4-positive type I NK T cell secreting interferon-gamma
